customer_id,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction
1,56,Male,1,13,0,3,Premium,Annual,3778.03,41
2,69,Female,28,28,4,19,Premium,Quarterly,1446.07,43
3,46,Female,6,11,9,14,Basic,Annual,3244.48,24
4,32,Female,47,10,4,5,Standard,Annual,2543.69,49
5,60,Male,36,7,7,25,Standard,Annual,3156.74,26
6,25,Female,53,24,7,5,Basic,Monthly,2235.5,32
7,38,Female,11,6,1,2,Basic,Annual,2701.72,43
8,56,Female,5,24,2,8,Premium,Quarterly,4943.14,27
9,36,Male,50,1,1,10,Standard,Monthly,1713.63,41
10,40,Male,24,17,0,4,Standard,Monthly,1160.62,19
11,28,Female,47,25,1,13,Basic,Monthly,2297.62,8
12,28,Female,18,12,9,1,Standard,Quarterly,2669.17,37
13,41,Female,20,4,5,21,Standard,Annual,519.58,6
14,53,Male,28,3,0,18,Premium,Annual,4049.26,19
15,57,Male,13,6,5,7,Premium,Monthly,2168.06,43
16,41,Male,5,26,0,12,Premium,Monthly,2124.62,23
17,20,Female,30,28,1,18,Standard,Annual,3328.32,2
18,39,Male,1,16,7,4,Standard,Quarterly,3888.9,3
19,19,Female,22,13,5,14,Premium,Monthly,4931.11,2
20,41,Female,18,28,8,3,Premium,Monthly,950.25,13
21,61,Male,46,9,0,3,Standard,Quarterly,1793.22,32
22,47,Female,5,26,4,17,Standard,Monthly,924.46,43
23,55,Male,31,11,6,23,Basic,Quarterly,4416.19,25
24,19,Female,6,20,8,18,Premium,Annual,2787.62,43
25,38,Female,27,25,8,19,Premium,Annual,4276.96,13
26,50,Male,56,21,3,21,Premium,Monthly,4927.6,30
27,29,Female,25,13,3,8,Standard,Annual,2796.01,19
28,39,Female,29,23,3,14,Standard,Quarterly,678.94,24
29,61,Female,28,19,2,29,Basic,Monthly,1870.21,54
30,42,Female,16,3,7,11,Basic,Quarterly,277.33,45
31,66,Female,54,12,4,3,Premium,Annual,4261.57,33
32,44,Female,53,19,6,2,Basic,Annual,187.65,59
33,59,Female,12,8,9,4,Standard,Annual,3001.71,13
34,45,Female,20,14,5,24,Basic,Monthly,620.05,31
35,33,Male,18,22,8,16,Basic,Quarterly,137.03,38
36,32,Male,34,9,2,4,Standard,Monthly,1355.14,8
37,64,Female,55,25,5,26,Premium,Annual,2804.08,58
38,68,Female,53,24,2,3,Premium,Annual,467.93,30
39,61,Male,23,17,1,20,Basic,Monthly,3112.95,19
40,69,Female,45,6,2,6,Standard,Quarterly,3392.76,32
41,20,Male,27,4,1,6,Standard,Annual,4851.52,30
42,54,Male,49,4,1,6,Basic,Quarterly,4507.73,55
43,68,Male,17,19,9,16,Premium,Annual,2877.28,46
44,24,Female,48,12,6,24,Premium,Monthly,3987.49,38
45,38,Female,21,25,9,14,Premium,Annual,1881.84,17
46,26,Female,50,2,2,6,Standard,Monthly,2969.99,34
47,56,Male,40,17,7,14,Standard,Monthly,2076.44,16
48,35,Male,31,15,1,19,Standard,Monthly,1751.5,59
49,21,Male,3,10,6,3,Premium,Annual,3665.43,37
50,42,Female,17,3,2,1,Basic,Quarterly,1553.69,55
51,31,Male,50,29,8,21,Standard,Quarterly,1964.71,52
52,67,Male,58,20,6,12,Standard,Annual,1899.14,6
53,26,Female,26,4,8,11,Basic,Monthly,4364.98,2
54,43,Male,23,22,1,9,Premium,Quarterly,934.98,5
